geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
Migut.J01286.v2.0	scaffold_10	13946837	13947684	13947188	13947757	496	decrease
Migut.J01747.v2.0	scaffold_10	18511173	18514304	18512935	18513262	327	decrease
Migut.K00890.v2.0	scaffold_11	10657091	10659684	10659095	10659292	197	increase
Migut.N00915.v2.0	scaffold_14	5954558	5955706	5954748	5954818	70	increase
Migut.B00511.v2.0	scaffold_2	2448155	2450144	2449088	2449170	82	decrease
Migut.C00430.v2.0	scaffold_3	10598536	10600426	10600166	10600244	78	decrease
Migut.D01720.v2.0	scaffold_4	14692277	14694353	14692844	14693101	257	decrease
Migut.F00493.v2.0	scaffold_6	2314466	2315731	2315072	2315452	380	decrease
Migut.F01214.v2.0	scaffold_6	6205104	6208910	6207759	6207809	50	increase
Migut.F01591.v2.0	scaffold_6	15745568	15747778	15744703	15746112	545	decrease
Migut.H02195.v2.0	scaffold_8	21816751	21819646	21818856	21818878	22	decrease
Migut.I00004.v2.0	scaffold_9	19861	23241	21873	21968	95	decrease
Migut.I00357.v2.0	scaffold_9	7173486	7178154	7174019	7174218	199	increase
