seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
scaffold_6,15744538,15747569,3032,*,51,39.4798534854567,1.92236167989064,36.230737473549,0.000492125984251968,0.00403249500528852,49171,49221,51
scaffold_6,8966166,8966676,511,*,5,4.50536575969828,2.38490370902024,22.3456286150113,0.000492125984251968,0.00403249500528852,47646,47650,5
scaffold_14,17095117,17095649,533,*,7,6.45023118548596,2.29765156177384,22.0959628367723,0.000492125984251968,0.00403249500528852,23648,23654,7
scaffold_13,5760790,5761612,823,*,10,8.08558423165356,1.89701412085638,17.6881212685423,0.000492125984251968,0.00403249500528852,18085,18094,10
scaffold_9,8312226,8312281,56,*,7,5.30720306639911,1.80597310496828,12.8135785039394,0.000492125984251968,0.00403249500528852,59437,59443,7
scaffold_8,15274731,15274907,177,*,10,3.26778946237835,0.881424038666699,12.6635756255033,0.000492125984251968,0.00403249500528852,56127,56136,10
scaffold_3,5398277,5398741,465,*,5,3.46255489581506,1.8483992517334,12.6031413615171,0.000492125984251968,0.00403249500528852,31020,31024,5
scaffold_6,7771788,7771869,82,*,9,4.99028673711447,-1.40758416663255,-12.5956140224066,0.000492125984251968,0.00403249500528852,47392,47400,9
scaffold_6,8957126,8957308,183,*,9,5.87896513215818,1.52480656789468,12.1297224060845,0.000492125984251968,0.00403249500528852,47628,47636,9
scaffold_9,3727106,3727471,366,*,13,6.01424455607023,1.20786040328983,11.3688411897031,0.000492125984251968,0.00403249500528852,58284,58296,13
scaffold_6,15052258,15052454,197,*,6,4.87403020839561,1.83414618037572,11.1798867174112,0.000492125984251968,0.00403249500528852,48898,48903,6
scaffold_13,11219163,11220114,952,*,5,4.08585554720039,2.03768819082928,11.1145528061693,0.000492125984251968,0.00403249500528852,19648,19652,5
scaffold_5,23295776,23296203,428,*,5,3.98618511479415,1.9223604316255,11.0755302996998,0.000492125984251968,0.00403249500528852,45849,45853,5
scaffold_2,13422563,13422713,151,*,17,3.22088678504677,0.56045536521337,10.4664256107722,0.000492125984251968,0.00403249500528852,28093,28109,17
scaffold_14,1373610,1375367,1758,*,7,5.12921013044452,-1.67650603270013,-10.1158136506369,0.000492125984251968,0.00403249500528852,21871,21877,7
scaffold_13,2497717,2497747,31,*,5,2.6902960237881,1.28597485833052,10.0296051097581,0.000492125984251968,0.00403249500528852,17359,17363,5
scaffold_4,17260613,17261683,1071,*,12,6.22970331813656,1.30530633089423,10.0068190893117,0.000492125984251968,0.00403249500528852,41677,41688,12
scaffold_2,13403226,13404285,1060,*,18,8.75955861524029,1.06231272985835,9.85964787521521,0.000492125984251968,0.00403249500528852,28018,28035,18
scaffold_8,24089814,24090766,953,*,16,4.72970040135404,-0.936745524349682,-9.84404210167478,0.000492125984251968,0.00403249500528852,57395,57410,16
scaffold_1140,4926,7599,2674,*,18,10.3119934852352,1.30476002255344,9.76508008345296,0.000492125984251968,0.00403249500528852,12778,12795,18
scaffold_10,17696560,17696672,113,*,5,3.81217975259584,1.8397292912546,9.49950527986861,0.000492125984251968,0.00403249500528852,5597,5601,5
scaffold_4,17250480,17252828,2349,*,11,5.88682221680145,1.48046800193851,9.41651658925625,0.000492125984251968,0.00403249500528852,41666,41676,11
scaffold_7,270995,271998,1004,*,11,6.25322712063541,1.41881551517719,9.31714115756592,0.000492125984251968,0.00403249500528852,50122,50132,11
scaffold_2,11208800,11209154,355,*,10,5.80413479230975,-1.38789443731588,-8.96535754599495,0.000492125984251968,0.00403249500528852,27479,27488,10
scaffold_12,5843457,5843936,480,*,11,3.11600241275178,0.942946876863261,8.8141329585973,0.000492125984251968,0.00403249500528852,13548,13558,11
scaffold_11,5040128,5042016,1889,*,22,8.94561337311893,0.964672669431482,8.71001998470271,0.000492125984251968,0.00403249500528852,6565,6586,22
scaffold_3,6654536,6656706,2171,*,9,4.30369254060435,-1.20005224350982,-7.97529849167956,0.000492125984251968,0.00403249500528852,31205,31213,9
scaffold_1,12810791,12811140,350,*,9,1.87298050871873,0.694950282044065,7.7568409474765,0.000492125984251968,0.00403249500528852,2015,2023,9
scaffold_4,779433,779577,145,*,6,2.6249135936892,1.17403329271649,7.70347665390517,0.000492125984251968,0.00403249500528852,34166,34171,6
