geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
Migut.A00987.v2.0	scaffold_1	6616335	6619630	6617160	6618272	1112	decrease
Migut.J01610.v2.0	scaffold_10	17695623	17697064	17696560	17696672	112	decrease
Migut.K00890.v2.0	scaffold_11	10657091	10659684	10658606	10659291	685	increase
Migut.K01488.v2.0	scaffold_11	24550062	24552141	24551470	24552103	633	decrease
Migut.M00329.v2.0	scaffold_13	5758043	5760956	5760790	5761612	166	decrease
Migut.N00012.v2.0	scaffold_14	59253	68083	60511	60552	41	decrease
Migut.N02049.v2.0	scaffold_14	17828482	17835433	17831595	17832311	716	decrease
Migut.O00845.v2.0	scaffold_2649	621	2728	1463	3051	1265	decrease
Migut.C00309.v2.0	scaffold_3	8666606	8674402	8669930	8670089	159	decrease
Migut.O00324.v2.0	scaffold_34	58108	58924	58048	58158	51	increase
Migut.D00180.v2.0	scaffold_4	797866	805047	801672	801777	105	decrease
Migut.D00221.v2.0	scaffold_4	992647	996316	993017	993481	464	increase
Migut.D01716.v2.0	scaffold_4	14660042	14665423	14661684	14663125	1441	increase
Migut.D02572.v2.0	scaffold_4	21053309	21054728	21054333	21054582	249	decrease
Migut.E01602.v2.0	scaffold_5	18554373	18556612	18554606	18555117	511	decrease
Migut.E01747.v2.0	scaffold_5	23295075	23300507	23295776	23296203	427	decrease
Migut.F01591.v2.0	scaffold_6	15745568	15747778	15744538	15747569	2002	decrease
Migut.G00028.v2.0	scaffold_7	268628	273490	270995	271998	1003	decrease
Migut.G00904.v2.0	scaffold_7	8348126	8359388	8356279	8357113	834	decrease
Migut.G01239.v2.0	scaffold_7	16200634	16205163	16204700	16205156	456	decrease
